Index,Timestamp,Wheel_Degrees,Phase_Degrees,Phase_Radians
0,0.056752600000000264,202.060546875,260.1472940659288,4.540426821604364
1,0.09008610000000017,210.2783203125,300.00974382459094,5.2361578178038375
2,0.10777250000000027,214.453125,320.2607209747134,5.589604045819613
3,0.12528609999999984,222.36328125,358.6309934696824,6.2592916357442405
4,0.14195279999999988,222.36328125,358.6309934696824,6.2592916357442405
5,0.1586194999999999,226.1865234375,17.176625175583922,0.29978866369488855
6,0.17528619999999995,232.91015625,49.79135679630758,0.8690231151308229
7,0.20861960000000002,236.0302734375,64.92629761376747,1.13317766448998
8,0.22528630000000005,241.962890625,93.70400198499419,1.635443356933451
9,0.25963899999999995,244.9951171875,108.41260644139902,1.892156933071226
10,0.2763057,251.54296875,140.17466534001233,2.4465094380643917
11,0.3096393000000002,255.1025390625,157.44128796274822,2.747868853530472
12,0.3263060000000002,263.14453125,196.45106499930012,3.428717903287179
13,0.35963939999999983,267.451171875,217.34154669100508,3.793325591135025
14,0.37630609999999987,276.3720703125,260.6146873381092,4.548584373105582
15,0.40969500000000014,280.8544921875,282.35784175192475,4.928074007396201
16,0.4301408000000002,285.4248046875,304.5273325267958,5.31500461490821
17,0.4468076000000001,294.8291015625,350.14532315970337,6.111188749596378
18,0.48014100000000015,303.8818359375,34.05796834838998,0.5944236842194203
19,0.4989302000000002,308.1005859375,54.5221136790401,0.9515903988458886
20,0.5155970000000001,312.0556640625,73.70724992652458,1.2864341938082025
21,0.5489304000000002,315.8349609375,92.0397134518987,1.606396042327748
22,0.5655971000000002,322.646484375,125.08078143367743,2.1830714669850644
23,0.6015160000000002,326.07421875,141.70789951483061,2.4732694226190692
24,0.6181828,333.10546875,175.81480839924734,3.0685472803298475
25,0.6515164000000002,336.7529296875,193.50776738303875,3.3773476690173174
26,0.6681830999999998,344.267578125,229.95952625325913,4.013550879445711
27,0.7015166000000002,351.8701171875,266.8376214845348,4.657195063095491
28,0.7222205000000002,355.5615234375,284.7437486488536,4.969715938393651
29,0.7388872000000002,359.1650390625,302.22353945211717,5.274795840470424
30,0.7555539000000002,365.9765625,335.2646074338961,5.851471265127744
31,0.7888874000000001,369.0966796875,350.399548251356,6.1156258144869025
32,0.8084136000000002,372.0849609375,4.894984527233191,0.08543359683439723
33,0.8417469999999998,377.75390625,32.39367981529449,0.5653763696137174
34,0.8584136999999998,383.9501953125,62.45039326968663,1.0899649817213386
35,0.8771707000000002,387.2021484375,78.22483862872923,1.3652809909125712
