Block_Number,Block_Label,Block_Duration_Minutes,Trial_Number,Sequence_Number,Trial_In_Sequence,Contrast,Delay,DiameterX,DiameterY,Duration,Orientation,Spatial_Frequency,Temporal_Frequency,X,Y,Phase,Trial_Type,Block_Type
6,Control block 4,6.4,51018,559,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.3334285648110944,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51019,559,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.151935619163191,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51020,559,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.616996445458142,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51021,560,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.60664588390193,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51022,560,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,6.105191089732835,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51023,560,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.8042142477790157,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51024,560,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.2692750741552399,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51025,560,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.1659123472904613,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51026,561,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.6235322004486643,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51027,561,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.1071954598354,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51028,561,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.141490737611695,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51029,561,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.224152341278714,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51030,561,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.224152341278714,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51031,562,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.759902413220041,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51032,562,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.5258943302568565,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51033,562,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.0393214825319304,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51034,562,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.0959396799663526,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51035,562,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.0959396799663526,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51036,563,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.6428512117814438,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51037,563,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.747835735114716,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51038,563,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.302188240147828,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51039,563,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.396011303692673,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51040,563,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.931761375634001,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51041,564,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.7237966989034119,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51042,564,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.7237966989034119,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51043,564,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.2707082307144393,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51044,564,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.4054566469360497,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51045,564,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,2.9895730448534366,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51046,565,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.1094395146308775,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51047,565,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.1094395146308775,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51048,565,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.65263055979429,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51049,565,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.735292163546645,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51050,565,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.010179847970576543,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51051,566,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.6054577056804537,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51052,566,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.8332182872106308,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51053,566,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.0758608151809135,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51054,566,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,3.6785796461128757,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51055,566,5,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,4.2701370171710735,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51056,567,1,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.397444460251872,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51057,567,2,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,5.9443559919816265,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51058,567,3,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,0.7103479090184421,prerecorded,open_loop_prerecorded
6,Control block 4,6.4,51059,567,4,1,0,360,360,0.03333333333333333,0,0.04,0,0,0,1.2126136015050892,prerecorded,open_loop_prerecorded
