tau,agg_mean,agg_max,agg_min,agg_med,agg_total_spike,pooled_std
0.5,0.018746287,3.062704,0.0,0.0,1889.607,0.11538089845636035
0.75,0.0114234425,2.5457864,0.0,0.0,1151.4714,0.08412841098424187
1.0,0.007931997,2.2288005,0.0,0.0,799.5375,0.06652326109978933
1.25,0.005935491,2.0133815,0.0,0.0,598.29156,0.05513913400493894
1.5,0.004663733,1.848534,0.0,0.0,470.09958,0.04713672288939256
2.0,0.0031651948,1.6121835,0.0,0.0,319.0485,0.03659070283730666
